city,model,n,brier_model,brier_market,calib_gap,edge
mexico-city,B0 Raw Ensemble,55,7.278233721740751e-07,0.725383540909091,0.7280833626391904,0.7253828130857188
mexico-city,B2 Simple Gaussian,55,0.0,0.725383540909091,0.7283181818181819,0.725383540909091
mexico-city,B3 Hybrid Bates-Granger,55,0.0,0.725383540909091,0.7283181818181819,0.725383540909091
mexico-city,B0 Raw Ensemble,55,1.4265975135938457e-07,0.725383540909091,0.728207547371372,0.7253833982493396
mexico-city,B2 Simple Gaussian,55,0.0,0.725383540909091,0.7283181818181819,0.725383540909091
mexico-city,B3 Hybrid Bates-Granger,55,0.0,0.725383540909091,0.7283181818181819,0.725383540909091
chicago,B0 Raw Ensemble,55,0.08094953927842155,0.7959653590909093,0.691901409799458,0.7140029332545588
chicago,B2 Simple Gaussian,55,0.015442989270116326,0.7959653590909093,0.771377443064107,0.7810771021321105
chicago,B3 Hybrid Bates-Granger,55,0.013693402095968027,0.7959653590909093,0.7666757755484361,0.7848398267084273
chicago,B0 Raw Ensemble,55,0.07934832789350402,0.7959653590909093,0.6936911185781319,0.7156568217062136
chicago,B2 Simple Gaussian,55,0.015442989270116326,0.7959653590909093,0.771377443064107,0.7810771021321105
chicago,B3 Hybrid Bates-Granger,55,0.013377692876811348,0.7959653590909093,0.7653803799972425,0.7847009227635399
tokyo,B0 Raw Ensemble,55,4.203074468315448e-12,0.6527289954545455,0.6556632230662408,0.6527289954503425
tokyo,B2 Simple Gaussian,55,0.0,0.6527289954545455,0.6556636363636364,0.6527289954545455
tokyo,B3 Hybrid Bates-Granger,55,0.0,0.6527289954545455,0.6556636363636364,0.6527289954545455
tokyo,B0 Raw Ensemble,55,6.953471225270671e-11,0.6527289954545455,0.6556619120570718,0.6527289953850108
tokyo,B2 Simple Gaussian,55,0.0,0.6527289954545455,0.6556636363636364,0.6527289954545455
tokyo,B3 Hybrid Bates-Granger,55,0.0,0.6527289954545455,0.6556636363636364,0.6527289954545455
